"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Caitlyn","ADC",27,"12.7%","75.1%","87.8%","59%","19%",119,55,131,4.5,"70.4%","18.4%","26%",372,224,9,9.5,"31.5%",586,"28.0%","27.8%",0.48,0.41
"Camille","Top",15,"7.0%","7.0%","14.1%","60%","73%",47,44,69,2.6,"58.0%","26.2%","13%",-412,-270,-14.3,7.4,"22.9%",420,"25.0%","21.4%",0.35,0.24
"Cassiopeia","Middle",1,"0.5%","0.0%","0.5%","0%","100%",2,0,6,8,"53.3%","0.0%","0%",58,-213,-2,8.7,"25.2%",279,"20.3%","21.9%",0.46,0.21
"Corki","Middle",30,"14.1%","37.1%","51.2%","63%","30%",101,70,154,3.6,"70.6%","19.1%","23%",-62,-86,-2.9,9.2,"28.7%",755,"37.7%","27.1%",0.47,0.28
"Diana","Jungle",15,"7.0%","16.0%","23.0%","67%","53%",47,34,79,3.7,"72.0%","23.9%","20%",287,316,10,8.1,"19.9%",335,"19.4%","21.3%",0.33,0.32
"Ezreal","ADC",22,"10.3%","3.3%","13.6%","55%","91%",79,41,86,4,"60.4%","16.8%","23%",145,-24,0,9.5,"31.9%",588,"30.8%","26.6%",0.42,0.34
"Fiora","Top",8,"3.8%","0.5%","4.2%","75%","100%",21,18,30,2.8,"51.5%","23.1%","13%",-7,-22,4,8.3,"25.1%",615,"31.2%","23.0%",0.34,0.19
"Galio","Middle",14,"6.6%","1.4%","8.5%","43%","100%",32,29,91,4.2,"78.3%","17.2%","14%",-184,37,-8.3,7.8,"21.9%",371,"21.6%","21.1%",0.57,0.18
"Galio","Support",1,"0.5%","1.4%","8.5%","0%","100%",0,4,6,1.5,"60.0%","23.5%","0%",49,-19,-3,1.3,"4.1%",126,"7.8%","9.2%",1.69,0.46
"Gangplank","Top",6,"2.8%","0.0%","2.8%","67%","100%",18,8,29,5.9,"66.2%","13.6%","50%",229,70,7.3,8.9,"27.6%",621,"30.6%","26.1%",0.44,0.1
